#Stain_Name,R0,G0,B0,R1,G1,B1,R2,G2,B2
H&E,0.644211000,0.716556000,0.266844000,0.09278900,0.95411100,0.28311100,0.00000000,0.00000000,0.0000000
H&E 2,0.490157340,0.768970850,0.410401730,0.04615336,0.84206840,0.53739250,0.00000000,0.00000000,0.0000000
H DAB,0.650000000,0.704000000,0.286000000,0.26800000,0.57000000,0.77600000,0.00000000,0.00000000,0.0000000
Feulgen Light Green,0.464209200,0.830083350,0.308271870,0.94705542,0.25373821,0.19650764,0.00000000,0.00000000,0.0000000
Giemsa,0.834750233,0.513556283,0.196330403,0.09278900,0.95411100,0.28311100,0.00000000,0.00000000,0.0000000
FastRed FastBlue DAB,0.213939210,0.851126690,0.477940220,0.74890292,0.60624161,0.26731082,0.26800000,0.57000000,0.7760000
Methyl Green DAB,0.980000000,0.144316000,0.133146000,0.26800000,0.57000000,0.77600000,0.00000000,0.00000000,0.0000000
H&E DAB,0.650000000,0.704000000,0.286000000,0.07200000,0.99000000,0.10500000,0.26800000,0.57000000,0.7760000
H AEC,0.650000000,0.704000000,0.286000000,0.27430000,0.67960000,0.68030000,0.00000000,0.00000000,0.0000000
Azan-Mallory,0.853033000,0.508733000,0.112656000,0.09289875,0.86620080,0.49098468,0.10732849,0.36765403,0.9237484
Masson Trichrome,0.799510700,0.591352100,0.105286670,0.09997159,0.73738605,0.66803260,0.00000000,0.00000000,0.0000000
Alcian blue & H,0.874622000,0.457711000,0.158256000,0.55255600,0.75440000,0.35374400,0.00000000,0.00000000,0.0000000
H PAS,0.644211000,0.716556000,0.266844000,0.17541100,0.97217800,0.15458900,0.00000000,0.00000000,0.0000000
Brilliant_Blue,0.314655480,0.660239500,0.681964640,0.38357300,0.52711410,0.75830240,0.74335430,0.51731443,0.4240403
RGB,0.000000000,1.000000000,1.000000000,1.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0.0000000
CMY,1.000000000,0.000000000,0.000000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.0000000
